repository_name,repository_url,commit_id,parent_commit_id,commit_url
apache/kafka,https://github.com/apache/kafka,0dc7f0e66f849346049f6f90cee05a2796735d14,b599b395f3d421b3fdb1d25b294778478c2467cf,https://github.com/apache/kafka/commit/0dc7f0e66f849346049f6f90cee05a2796735d14
apache/Zookeeper,https://github.com/apache/Zookeeper,5c85a236c9eb0805ea8389a52dab3b1bc0efadac,7b679bc9dd98f06ee10bbb0978cfee5dab7b74dc,https://github.com/apache/Zookeeper/commit/5c85a236c9eb0805ea8389a52dab3b1bc0efadac
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,552b99c3a7c32f47280d73385c5cf528ee7d0cde,13bd1b1b093debbd724b126c5f40176c6c436d5d,https://github.com/cloudfoundry/uaa/commit/552b99c3a7c32f47280d73385c5cf528ee7d0cde
apache/camel,https://github.com/apache/camel,e37bbb3f7319eba28fb897dc764c7927d8319688,e92581befe5096451d1617c25e7ca494d907c2d2,https://github.com/apache/camel/commit/e37bbb3f7319eba28fb897dc764c7927d8319688
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph,e1ebf1275a27dbec79f44960b4786c7696ebb8d3,958707cbf25607aff887f3c72ecabc71891c580d,https://github.com/JanusGraph/janusgraph/commit/e1ebf1275a27dbec79f44960b4786c7696ebb8d3
apache/Flink,https://github.com/apache/Flink,8e5213c19667f23d6b9c63524e7216bcebf396a2,a7102b771280932255f04b77c086b6b7a5b782e2,https://github.com/apache/Flink/commit/8e5213c19667f23d6b9c63524e7216bcebf396a2
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,4c8b14762e00896bc9718237e69055fb6a869e6e,d2ead7b277f80270af6a92b06c68c384118cc3b4,https://github.com/cloudfoundry/uaa/commit/4c8b14762e00896bc9718237e69055fb6a869e6e
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,d1a38863b8c58b35a3685d05f2e3886bbc771086,e1aa5ef7741add8fc8cc2161cfb24f4743fe73ec,https://github.com/cloudfoundry/uaa/commit/d1a38863b8c58b35a3685d05f2e3886bbc771086
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,bb3a592666d9f1940892169bf3292f5aa70d4a6b,a793eccd2a734636ee9ccc1664d3c2bab9808558,https://github.com/cloudfoundry/uaa/commit/bb3a592666d9f1940892169bf3292f5aa70d4a6b
mockito/mockito,https://github.com/mockito/mockito,11dff2268547f21539604f59c4ca05b56b7311e8,6dc36bab96d42800a30e90fc16db6cdcfad2e0bf,https://github.com/mockito/mockito/commit/11dff2268547f21539604f59c4ca05b56b7311e8
neo4j/neo4j,https://github.com/neo4j/neo4j,dde675cc3f4dd5cabd1150af49a3aa3cc96a0794,55189e6b7e3a558fa1c0ac66012706225a38401f,https://github.com/neo4j/neo4j/commit/dde675cc3f4dd5cabd1150af49a3aa3cc96a0794
apache/camel,https://github.com/apache/camel,774f6cde0d302c869b1e1392d005263adc6d7f9e,19e157efcea90098dc79622ecbdfc4975d9c615b,https://github.com/apache/camel/commit/774f6cde0d302c869b1e1392d005263adc6d7f9e
Activiti/Activiti,https://github.com/Activiti/Activiti,00c858bde56b2148f1f6732454b4ba1d6dfacdbe,58ec3c2282959fe37db65e5ed3be0f10affb75c2,https://github.com/Activiti/Activiti/commit/00c858bde56b2148f1f6732454b4ba1d6dfacdbe
INRIA/spoon,https://github.com/INRIA/spoon,74d9f44bacb748f8503006c87f7945d48f2ec89f,161308504733a2fd287f1ef9943093c58f74c688,https://github.com/INRIA/spoon/commit/74d9f44bacb748f8503006c87f7945d48f2ec89f
apache/Zookeeper,https://github.com/apache/Zookeeper,668828503389f3e542b846019bace8b9842fa428,8b82c2694dc31238b04345a7bd95c6a7fb62c7f8,https://github.com/apache/Zookeeper/commit/668828503389f3e542b846019bace8b9842fa428
jetty/jetty.project,https://github.com/jetty/jetty.project,99fbc30f928885c2defbb9c06c8c49ac2d8bff17,1ba61e8e0c3452e662b1f6bed77f65a061b2eb79,https://github.com/jetty/jetty.project/commit/99fbc30f928885c2defbb9c06c8c49ac2d8bff17
